# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	134834
#@/user_id	662381a1-8689-44f9-85f4-86de7606dd45
a 	啊	c=680 d=1.29485 t=134775
la tou zi 	拉投資	c=1 d=1 t=8742
la wo 	拉我	c=64 d=1.00001 t=134435
la wo men 	啦我们	c=1 d=1 t=83988
la wo ya 	拉我呀	c=1 d=1 t=41122
la xin 	拉新	c=2 d=1 t=106722
la yan jing 	辣眼睛	c=3 d=1 t=117303
la yi ba 	拉一把	c=1 d=1 t=98285
la yi xia 	拉一下	c=3 d=1 t=115952
la yuan 	拉遠	c=1 d=1 t=92012
la zha 	拉閘	c=1 d=1 t=132052
la zhe 	拉着	c=1 d=1 t=16974
la zhu 	蠟燭	c=3 d=1 t=65134
la zou wei 	拉走位	c=1 d=1 t=40050
lai 	來	c=375 d=1.32642 t=134790
lai 	賴	c=1 d=1 t=132939
lai a 	來啊	c=4 d=0.1 t=103464
lai a le 	來啊了	c=1 d=1 t=103465
lai ba 	來吧	c=23 d=1 t=124352
lai bei 	来呗	c=1 d=1 t=21282
lai bu 	来不	c=2 d=1 t=127888
lai bu ji 	來不及	c=6 d=1 t=66217
lai bu lai 	來不來	c=2 d=1 t=120332
lai bu le 	来不了	c=1 d=1 t=46909
lai ce 	来测	c=0 d=0.1 t=80910
lai ce shi 	来测是	c=1 d=1 t=80911
lai chi fan 	来吃饭	c=1 d=1 t=23997
lai chong 	來衝	c=1 d=1 t=4965
lai dao 	來到	c=2 d=1 t=44648
lai de 	來得	c=1 d=1 t=25051
lai de ji 	來得及	c=8 d=1.00018 t=131858
lai dian wei 	來典韦	c=1 d=1 t=93049
lai fa 	來發	c=1 d=1 t=127644
lai gao 	来搞	c=5 d=1.02149 t=119470
lai ge 	來個	c=8 d=1.28548 t=79744
lai guang ying 	来广营	c=1 d=1 t=97195
lai guo 	來過	c=2 d=1 t=116149
lai hong chang 	赖鸿昌	c=38 d=1.00273 t=131301
lai hui 	來回	c=1 d=1 t=111328
lai ji ge 	來幾個	c=1 d=1 t=18494
lai kan 	來看	c=11 d=1 t=125668
lai kan kan 	來看看	c=1 d=1 t=132855
lai le 	來了	c=94 d=1.02472 t=134414
lai liang ba 	來兩把	c=1 d=1 t=58728
lai ma 	來嘛	c=2 d=1.00021 t=66071
lai ma 	来吗	c=58 d=1.73715 t=134317
lai mou 	賴某	c=1 d=1 t=128931
lai ne 	來呢	c=1 d=1 t=38160
lai pan 	來盤	c=1 d=1 t=67452
lai shan qin 	赖善钦	c=2 d=1.85214 t=132988
lai shuang pai 	來双排	c=1 d=1 t=97880
lai shuo 	來說	c=33 d=1 t=133527
lai ti yan 	来体验	c=0 d=0.1 t=32943
lai ti yan yi xia 	来体验一下	c=1 d=1 t=32944
lai ting 	來聽	c=1 d=1.09656 t=3361
lai xian 	賴線	c=1 d=1 t=23334
lai xiao xi 	來消息	c=1 d=1 t=128137
lai xie 	來寫	c=2 d=1 t=81450
lai ya 	來呀	c=3 d=1 t=108597
lai yi ba 	来一把	c=9 d=1.09681 t=117097
lai yi bo 	来一波	c=1 d=1 t=106202
lai yi fa 	来一发	c=3 d=1 t=117062
lai yi fen 	来一份	c=1 d=1 t=118367
lai yi ge 	来一个	c=3 d=1 t=121882
lai yi ju 	来一局	c=9 d=1 t=117939
lai yuan 	來源	c=2 d=0.1 t=117205
lai zhang 	賴賬	c=1 d=1 t=70230
lai zhe 	來着	c=7 d=1 t=130569
lai zhe 	來這	c=1 d=1 t=130721
lai zhe bu ju 	來者不拒	c=1 d=1 t=96147
lai zhi qian 	来之前	c=1 d=1 t=48171
lai zhua 	來抓	c=1 d=1 t=117377
lai zi 	來自	c=1 d=1 t=22189
lai zi yu 	來自於	c=1 d=1 t=7617
lan 	爛	c=2 d=1 t=86641
lan 	藍	c=12 d=1 t=108378
lan bao shi 	藍寶石	c=0 d=0.1 t=93365
lan bu zhu 	攔不住	c=1 d=1 t=52019
lan chu 	爛出	c=1 d=1 t=22340
lan de 	懶得	c=2 d=1 t=113549
lan de 	爛得	c=1 d=1 t=80695
lan de dong 	懶得動	c=1 d=1 t=97163
lan er ji 	藍耳機	c=1 d=1 t=59458
lan fang 	藍方	c=2 d=1 t=128031
lan jie 	攔截	c=3 d=1.93239 t=126597
lan jun 	藍軍	c=1 d=1 t=63115
lan ling 	藍領	c=3 d=1 t=73760
lan ling wang 	兰陵王	c=14 d=1 t=134257
lan qiu 	籃球	c=2 d=1 t=119438
lan qiu chang 	籃球場	c=1 d=1 t=128237
lan qu 	蓝区	c=5 d=1 t=121772
lan se 	藍色	c=3 d=1.95123 t=9052
lan shou 	蓝瘦	c=3 d=1 t=127919
lan wei 	烂尾	c=1 d=1 t=18383
lan xian 	藍線	c=1 d=1 t=79464
lan ya 	藍牙	c=1 d=1 t=46454
lan yang yang 	懶洋洋	c=3 d=1.98511 t=114699
lan ying 	藍營	c=2 d=1.93239 t=63124
lan zai 	爛崽	c=1 d=1 t=85448
lang 	浪	c=8 d=1.00301 t=106688
lang fei 	浪費	c=8 d=1 t=127223
lang fei qian 	浪费钱	c=1 d=1 t=22008
lang fei shi jian 	浪費時間	c=2 d=1 t=125481
lang gou 	狼狗	c=19 d=1 t=125838
lang gou che 	狼狗車	c=1 d=1 t=44484
lang lang shang kou 	朗朗上口	c=1 d=1 t=78593
lang le 	浪了	c=0 d=0.1 t=106715
lang man 	浪漫	c=4 d=1 t=78475
lang mie 	狼滅	c=1 d=1 t=119842
lang qi lai 	浪起来	c=1 d=1 t=112159
lang shi 	朗士	c=2 d=1.94649 t=62451
lang song 	朗誦	c=0 d=0.1 t=29785
lao 	佬	c=1 d=1 t=13327
lao 	勞	c=0 d=0.1 t=122125
lao 	老	c=10 d=1 t=128526
lao an 	老安	c=2 d=1 t=50775
lao ba 	老爸	c=1 d=1 t=106692
lao ban 	老闆	c=51 d=1 t=131805
lao bei 	老被	c=2 d=1 t=117802
lao bei jing 	老北京	c=2 d=1 t=52447
lao chen 	老陳	c=1 d=1 t=110249
lao chu lai 	捞出来	c=1 d=1 t=126697
lao da 	老大	c=7 d=1 t=133680
lao dao 	撈到	c=0 d=0.1 t=34541
lao dao mei 	撈到沒	c=1 d=1 t=34542
lao di 	老弟	c=1 d=1 t=42352
lao dong 	勞動	c=7 d=0.105528 t=133412
lao dong fa 	勞動法	c=3 d=2.78282 t=34533
lao dong jia 	老東家	c=1 d=1 t=121506
lao dui 	老懟	c=1 d=1 t=32781
lao fu zi 	老夫子	c=11 d=1.0693 t=103220
lao ge 	老哥	c=9 d=1 t=132149
lao ge men 	老哥们	c=1 d=1 t=52912
lao gong 	老公	c=2 d=1 t=131198
lao gou 	老狗	c=2 d=1 t=104285
lao gui ju 	老規矩	c=1 d=1 t=131735
lao guo 	老郭	c=2 d=1 t=64365
lao hu 	老虎	c=11 d=1 t=104445
lao huang li 	老皇曆	c=1 d=1 t=107150
lao jia 	老家	c=1 d=1 t=91937
lao jiang hu 	老江湖	c=1 d=1 t=27906
lao jiao 	勞教	c=3 d=2.80927 t=102190
lao le 	捞了	c=4 d=2.32772 t=125953
lao li shi 	勞力士	c=1 d=1 t=113007
lao ma 	老媽	c=1 d=1 t=68772
lao ma 	老馬	c=2 d=1 t=74663
lao ma 	老麻	c=1 d=1 t=22790
lao mao bing 	老毛病	c=1 d=1 t=96938
lao mou shen suan 	老謀深算	c=2 d=1.81873 t=120399
lao mu 	老母	c=2 d=1 t=80589
lao nian 	老年	c=1 d=0.1 t=125749
lao nian ren 	老年人	c=2 d=1 t=88252
lao nian sheng huo 	老年生活	c=1 d=1 t=125750
lao nian tui yi 	老年退役	c=1 d=1 t=22311
lao niang men 	老孃們	c=1 d=1 t=117900
lao niu 	老牛	c=2 d=1 t=118024
lao po 	老婆	c=25 d=1 t=127614
lao qi lai 	撈起來	c=1 d=1 t=126922
lao qian 	撈錢	c=1 d=1 t=100229
lao ren ji 	老人機	c=1 d=1 t=77675
lao shi 	老實	c=4 d=1 t=116573
lao shi 	老師	c=26 d=1.00512 t=128542
lao shi 	老是	c=4 d=1 t=91986
lao shi ren 	老實人	c=2 d=1.00014 t=116501
lao shou 	老手	c=1 d=1 t=44823
lao shu 	老鼠	c=1 d=0.1 t=133782
lao shu shi 	老鼠屎	c=1 d=1 t=133783
lao shuai 	老帥	c=0 d=0.1 t=62444
lao shuai bi 	老帥比	c=1 d=1 t=62445
lao shuo 	老說	c=1 d=1 t=78618
lao si ji 	老司机	c=4 d=1.00001 t=117460
lao ta luo 	勞塔羅	c=1 d=1 t=122126
lao tie 	老铁	c=6 d=1 t=122554
lao tou 	老頭	c=3 d=1 t=94696
lao tou er 	老頭兒	c=0 d=0.1 t=7885
lao wang 	老王	c=53 d=3.25858 t=131781
lao wu 	勞務	c=6 d=1.00074 t=64533
lao wu he tong 	劳务合同	c=1 d=1 t=62829
lao xiang 	老想	c=1 d=1 t=40092
lao xiang 	老鄉	c=2 d=1 t=100214
lao ya se 	老亚瑟	c=1 d=1 t=74673
lao yong hu 	老用户	c=3 d=2.72528 t=104601
lao you tiao 	老油條	c=1 d=1 t=70039
lao yuan gong 	老员工	c=3 d=1 t=63648
lao zhang fei 	老張飛	c=2 d=1 t=114543
lao zhou yu 	老周与	c=1 d=1 t=105538
lao zi 	老子	c=9 d=1.97045 t=100034
lao zong 	老總	c=2 d=1 t=20424
le 	了	c=3738 d=2.75656 t=134803
le 	樂	c=3 d=1 t=96543
le guan 	樂觀	c=0 d=0.1 t=117829
le guan ji ji 	樂觀積極	c=1 d=1 t=117830
le he 	乐呵	c=1 d=1 t=91208
le pei zhi 	了配置	c=1 d=1 t=118198
le qu 	樂趣	c=3 d=1 t=121954
le shan 	樂山	c=1 d=1 t=81095
le si 	勒四	c=1 d=1 t=64770
le xue xi 	了学习	c=1 d=1 t=23920
leader 	leader	c=1 d=1 t=3905
learning 	learning	c=1 d=1 t=37509
lei 	嘞	c=55 d=1 t=132739
lei 	淚	c=1 d=0.1 t=123909
lei 	累	c=5 d=1 t=120261
lei 	雷	c=1 d=1 t=80132
lei 	類	c=29 d=1 t=131186
lei bi 	類比	c=1 d=1 t=98991
lei bie 	類別	c=10 d=1.68045 t=80539
lei ji 	累積	c=6 d=1 t=108301
lei ji 	累計	c=2 d=1 t=30652
lei le 	累了	c=1 d=1 t=51849
lei lei 	雷雷	c=2 d=1.9802 t=119153
lei si 	累死	c=1 d=1 t=79079
lei si 	類似	c=36 d=1.0002 t=133421
lei si you 	類似有	c=1 d=1 t=106355
lei xing 	類型	c=30 d=1.00001 t=125959
lei zi 	雷子	c=1 d=1 t=121068
lei zong 	雷总	c=2 d=1.56836 t=105545
leng 	冷	c=2 d=1 t=115472
leng cang 	冷藏	c=1 d=1 t=114926
leng dong 	冷凍	c=1 d=1 t=112564
leng jing 	冷靜	c=4 d=1 t=121845
leng men 	冷門	c=2 d=1 t=48833
leng qi dong 	冷启动	c=1 d=1 t=80665
leng que 	冷卻	c=3 d=0.1 t=102899
leng que xie 	冷卻鞋	c=2 d=1 t=121235
leng zhan 	冷戰	c=2 d=1 t=111548
li 	利	c=2 d=1 t=102732
li 	力	c=1 d=0.1 t=41389
li 	哩	c=2 d=1 t=59035
li 	李	c=3 d=1 t=133922
li 	理	c=5 d=0.1 t=122788
li 	禮	c=2 d=1 t=83884
li 	立	c=3 d=1.13134 t=87172
li 	裏	c=60 d=1.04649 t=134038
li 	離	c=15 d=1 t=132722
li bai 	李白	c=35 d=1.97045 t=134233
li bao 	禮包	c=3 d=1.64726 t=53201
li ben 	李奔	c=3 d=2.76072 t=100863
li bu kai 	離不開	c=1 d=1 t=69826
li cai 	理財	c=3 d=1 t=99005
li chang 	立場	c=2 d=1 t=92641
li cheng 	歷程	c=2 d=1 t=54155
li da ge 	李大哥	c=14 d=1.67275 t=129449
li da xia 	李大俠	c=1 d=1 t=116570
li dai tao jiang 	李代桃僵	c=1 d=1 t=73373
li dan yang 	李丹陽	c=2 d=1 t=134160
li de 	離得	c=4 d=1 t=96032
li dong chen 	李东晨	c=1 d=1 t=69316
li du 	粒度	c=1 d=1 t=8664
li fa dian 	理髮店	c=1 d=1 t=81839
li fan 	裏番	c=2 d=1 t=97445
li gan jian ying 	立竿見影	c=1 d=1 t=100741
li gong 	立功	c=1 d=1 t=37131
li hai 	厲害	c=17 d=1.99501 t=118845
li hai yi xie 	厉害一些	c=1 d=1 t=62576
li hang 	李航	c=1 d=1 t=28175
li hao 	利好	c=2 d=1 t=125948
li hong yi 	李宏毅	c=16 d=1 t=111509
li hui lian 	李惠連	c=1 d=1 t=132998
li hun 	離婚	c=1 d=1 t=63364
li ji 	立即	c=1 d=1 t=27878
li jie 	理解	c=54 d=1 t=129833
li jie wei 	理解为	c=2 d=1 t=93206
li jin 	禮金	c=1 d=1 t=53999
li jing liang 	李景亮	c=2 d=1.89137 t=119058
li kai 	離開	c=7 d=1 t=112059
li kai jia 	離開家	c=0 d=0.1 t=77195
li kai jia huan ge fan de sa 	離開家換個范德薩	c=1 d=1 t=77196
li lao shi 	李老師	c=1 d=1 t=104360
li le 	理了	c=1 d=1 t=98627
li le 	離了	c=1 d=1 t=10333
li li 	麗麗	c=7 d=1 t=133258
li liang 	力量	c=2 d=1 t=131987
li lin na 	李琳娜	c=1 d=1 t=16626
li lun 	理論	c=7 d=1 t=123340
li lun shang 	理論上	c=1 d=1 t=39171
li ma 	立馬	c=3 d=1 t=122869
li mao 	禮貌	c=0 d=0.1 t=66797
li mian 	裏面	c=31 d=1 t=126544
li ming 	黎明	c=46 d=1.00005 t=133873
li qiang 	力強	c=0 d=0.1 t=92371
li qing 	釐清	c=1 d=1 t=69424
li qing chu 	理清楚	c=1 d=1 t=46639
li qun 	利群	c=1 d=1 t=24093
li ran 	李然	c=1 d=1 t=2609
li ren 	理人	c=0 d=0.1 t=80595
li ru 	例如	c=16 d=1 t=108555
li run 	利潤	c=5 d=1 t=46089
li san 	離散	c=11 d=1 t=110477
li san hua 	离散化	c=1 d=1 t=27305
li san shu ju 	离散数据	c=1 d=1 t=43986
li shi 	歷史	c=12 d=1 t=93479
li shi 	立式	c=1 d=1 t=109643
li shi ban ben 	歷史版本	c=1 d=1 t=40991
li shu 	李叔	c=90 d=2.02767 t=134776
li wei 	李偉	c=2 d=1.99501 t=5645
li wen jie 	李文傑	c=1 d=1 t=84509
li wo 	離我	c=1 d=1 t=51704
li wu 	禮物	c=13 d=1 t=132082
li wu pu 	利物浦	c=2 d=1 t=36472
li xi 	立息	c=3 d=1 t=65033
li xian 	離線	c=17 d=1 t=133249
li xiang 	理想	c=3 d=1 t=120371
li xiang 	立項	c=5 d=1.73712 t=121485
li xiang hua 	理想化	c=1 d=1 t=38390
li xiao lu 	李小璐	c=5 d=1.11306 t=103149
li xin 	李信	c=10 d=1 t=134290
li xue 	李雪	c=2 d=1.97531 t=68319
li xun huan 	李尋歡	c=1 d=1 t=2542
li yang 	李扬	c=2 d=1 t=132592
li yang 	李杨	c=1 d=1 t=132659
li yi 	利益	c=3 d=1 t=131119
li yi fen pei 	利益分配	c=1 d=1 t=65241
li yi xia 	理一下	c=1 d=1 t=38235
li yong 	利用	c=15 d=1 t=111955
li yong le 	李永樂	c=1 d=1 t=96652
li you 	理由	c=4 d=1 t=133240
li yuan fang 	李元芳	c=5 d=1 t=129114
li yun ze 	李昀泽	c=1 d=1 t=109501
li zhi 	荔枝	c=1 d=1 t=43467
li zhi 	離職	c=31 d=2.07936 t=132633
li zhi chao 	離職潮	c=1 d=1 t=36659
li zhi yuan gong 	离职员工	c=1 d=1 t=50448
li zhu 	立柱	c=1 d=1 t=90872
li zi 	例子	c=4 d=1 t=93257
li zi 	黎姿	c=1 d=1 t=131554
lia 	倆	c=2 d=1 t=84697
lian 	練	c=17 d=1 t=130340
lian 	臉	c=9 d=1 t=132709
lian 	連	c=29 d=1.00043 t=117447
lian 	鏈	c=6 d=1 t=56954
lian ai 	戀愛	c=2 d=1 t=111349
lian ai xun huan 	戀愛循環	c=1 d=1 t=15974
lian bai 	連敗	c=6 d=1 t=121996
lian bang 	聯邦	c=2 d=1 t=116866
lian biao 	鏈表	c=8 d=2.61029 t=94575
lian bu chu lai 	练不出来	c=1 d=1 t=86617
lian bu qi lai 	連不起來	c=1 d=1 t=86616
lian bu shang 	連不上	c=1 d=1 t=61648
lian bu xing 	臉不行	c=1 d=1 t=115701
lian che 	練車	c=1 d=1 t=91634
lian che 	連車	c=1 d=1 t=32711
lian cheng 	練成	c=2 d=1 t=64430
lian cheng 	連成	c=1 d=1 t=64431
lian cheng le 	练成了	c=1 d=1 t=110181
lian chu lai 	練出來	c=1 d=1 t=18967
lian da 	連打	c=1 d=1 t=16062
lian dan shu 	煉丹術	c=1 d=1 t=1721
lian diao 	連掉	c=1 d=1 t=77266
lian dong 	聯動	c=9 d=2.54349 t=103996
lian dong you shi 	聯動優勢	c=3 d=1.00003 t=56679
lian ge 	練個	c=4 d=1 t=116391
lian guo 	練過	c=2 d=1 t=61662
lian guo 	連過	c=1 d=1 t=59472
lian he 	聯合	c=11 d=1.64726 t=131095
lian he jian mo 	联合建模	c=1 d=1 t=73870
lian huan 	連環	c=1 d=1 t=10522
lian jie 	連接	c=22 d=1.00023 t=107780
lian jie 	鏈接	c=12 d=1 t=113959
lian jie chi 	連接池	c=1 d=1 t=66546
lian jie zhong 	鏈接中	c=1 d=1 t=7683
lian jin 	鍊金	c=1 d=1 t=99413
lian le 	練了	c=1 d=1 t=35222
lian lian 	練練	c=2 d=1 t=94301
lian meng 	聯盟	c=3 d=1.70117 t=26396
lian mian 	臉面	c=1 d=1 t=46331
lian ming 	聯名	c=2 d=1 t=108009
lian pai 	聯排	c=2 d=1.9802 t=82935
lian peng 	蓮蓬	c=1 d=1 t=77712
lian po 	廉頗	c=14 d=1 t=128337
lian qi lai 	練起來	c=5 d=1 t=131857
lian ren 	戀人	c=1 d=1 t=60217
lian ri 	連日	c=1 d=1 t=85926
lian shang 	臉上	c=3 d=1 t=114665
lian shang 	連上	c=1 d=1 t=1069
lian sheng 	連勝	c=13 d=1.0973 t=122215
lian sheng 	連升	c=1 d=1 t=100107
lian shi 	鏈式	c=5 d=1 t=20018
lian shou 	練手	c=2 d=1 t=118428
lian suo dian 	連鎖店	c=1 d=1 t=81053
lian ti ying er 	連體嬰兒	c=1 d=1 t=95430
lian tiao 	聯調	c=5 d=1 t=74660
lian tong 	聯通	c=3 d=1 t=92436
lian wang 	聯網	c=2 d=1 t=74802
lian wo 	連我	c=3 d=1.94176 t=106150
lian xi 	練習	c=22 d=0.1 t=124663
lian xi 	聯繫	c=10 d=1.04905 t=108348
lian xi le 	联系了	c=1 d=1 t=95614
lian xi ren 	聯繫人	c=3 d=1 t=20243
lian xi sai 	練習賽	c=1 d=1 t=124664
lian xi wo 	联系我	c=4 d=1 t=125139
lian xia 	連下	c=1 d=1 t=86232
lian xiang 	聯想	c=2 d=1 t=103602
lian xu 	連續	c=13 d=1 t=122739
lian xu ke dao 	連續可導	c=1 d=1 t=6389
lian yi lian 	练一练	c=1 d=1 t=132118
lian yi shou 	练一手	c=1 d=1 t=96328
lian ying xiong 	练英雄	c=6 d=1 t=106088
lian zai 	連載	c=1 d=1 t=15507
lian zhe 	連着	c=1 d=1 t=103213
lian zhen 	連真	c=0 d=0.1 t=74748
lian zhong 	聯衆	c=1 d=1 t=55080
liang 	亮	c=1 d=0.1 t=68164
liang 	倆	c=1 d=0.196079 t=44984
liang 	兩	c=9 d=1.07531 t=113044
liang 	涼	c=7 d=1.93239 t=112880
liang 	量	c=19 d=1 t=111650
liang ba 	兩把	c=17 d=1 t=132902
liang ba huo 	兩把火	c=1 d=1 t=84859
liang ba san 	兩把傘	c=1 d=1 t=111638
liang bei 	兩倍	c=2 d=1 t=73291
liang bei 	兩杯	c=2 d=1 t=67456
liang bian 	兩邊	c=3 d=1 t=120148
liang bo 	两波	c=5 d=1.31982 t=93695
liang bu 	兩步	c=0 d=0.1 t=58922
liang cao 	糧草	c=1 d=1 t=108703
liang ceng 	兩層	c=3 d=1 t=91922
liang chang 	兩場	c=4 d=1 t=67364
liang chong 	兩重	c=0 d=0.1 t=94311
liang ci 	兩次	c=7 d=0.1 t=113707
liang da 	兩大	c=2 d=1 t=134822
liang da lei 	兩大類	c=1 d=1 t=30889
liang dai 	兩袋	c=1 d=1 t=55675
liang dan 	两单	c=1 d=1 t=88141
liang dian 	亮點	c=2 d=1 t=121446
liang dian 	兩點	c=1 d=1 t=114752
liang dian ban 	两点半	c=1 d=1 t=85493
liang diao 	涼掉	c=2 d=1 t=118493
liang duan 	兩段	c=2 d=1 t=126633
liang duan 	兩端	c=5 d=1.62065 t=44125
liang dui 	兩堆	c=1 d=1 t=42532
liang fa shi 	兩法師	c=2 d=1 t=86831
liang fen 	兩份	c=3 d=1 t=116488
liang fen zhong 	兩分鐘	c=10 d=1 t=121985
liang gang 	量綱	c=1 d=1 t=5891
liang ge 	兩個	c=107 d=1.9924 t=131830
liang ge ban xiao shi 	两个半小时	c=1 d=1 t=52389
liang ge ci 	兩個詞	c=1 d=1 t=103785
liang ge dian 	两个点	c=2 d=1 t=66984
liang ge ren 	兩個人	c=6 d=1.00007 t=122044
liang ge shi 	两个事	c=1 d=1 t=113251
liang ge xiao shi che 	兩個小时车	c=1 d=1 t=51690
liang ge yue 	兩個月	c=7 d=1 t=133482
liang ge zi 	兩個字	c=1 d=1 t=62986
liang hang 	兩行	c=2 d=1 t=70328
liang he liu yu 	兩河流域	c=1 d=1 t=89812
liang hua 	量化	c=5 d=1.9803 t=130002
liang hui 	兩回	c=1 d=1 t=82171
liang ji 	兩季	c=1 d=1 t=122678
liang ji 	兩級	c=5 d=1.00003 t=109454
liang ji 	量級	c=2 d=1 t=107822
liang ji xia 	兩稷下	c=1 d=1 t=113045
liang jia 	兩家	c=1 d=1 t=78354
liang jian 	兩件	c=1 d=0.1 t=129382
liang jiao lian 	梁教练	c=1 d=1 t=25328
liang jie 	梁洁	c=3 d=1.99501 t=14107
liang ju 	兩句	c=0 d=0.1 t=25939
liang ju 	兩局	c=13 d=1 t=129139
liang ju hua 	兩句話	c=1 d=1 t=133672
liang ke 	兩顆	c=1 d=1 t=103860
liang ke xing 	两颗星	c=1 d=1 t=4111
liang kuai 	兩塊	c=2 d=1 t=117743
liang kuai 	涼快	c=2 d=1 t=71928
liang kuan 	兩款	c=1 d=1 t=94520
liang le 	亮了	c=4 d=1.07065 t=70806
liang le 	涼了	c=25 d=1.99005 t=115177
liang lei 	兩類	c=5 d=1.00001 t=39774
liang li gang 	樑利剛	c=1 d=1 t=132661
liang lian 	兩連	c=2 d=1 t=116511
liang lian bai 	两连败	c=4 d=1.99412 t=116300
liang liang 	兩兩	c=1 d=1 t=110605
liang liang 	兩輛	c=2 d=1 t=25530
liang liang 	涼涼	c=4 d=1 t=94964
liang lu 	兩路	c=2 d=1 t=123133
liang lu xian 	兩路線	c=1 d=1 t=28676
liang lun 	兩輪	c=0 d=0.1 t=121553
liang mian 	兩面	c=1 d=1 t=112708
liang miao zhong 	兩秒鐘	c=1 d=1 t=61965
liang ming 	兩名	c=0 d=0.1 t=41705
liang nian 	兩年	c=11 d=1 t=123365
liang nian qian 	兩年前	c=1 d=0.1 t=87589
liang nian qian le 	兩年前了	c=1 d=1 t=87590
liang pi 	两批	c=1 d=1 t=19645
liang pian 	兩片	c=1 d=1 t=5047
liang piao 	兩票	c=1 d=1 t=51014
liang qiang 	兩槍	c=1 d=1 t=84584
liang qu 	兩曲	c=1 d=1 t=17181
liang quan 	兩圈	c=1 d=1 t=73676
liang san 	兩三	c=0 d=0.1 t=52035
liang san dian 	兩三點	c=1 d=1 t=48358
liang san ju 	兩三句	c=1 d=1 t=52036
liang san nian 	两三年	c=1 d=1 t=77567
liang san zhou 	两三周	c=1 d=1 t=95129
liang she shou 	兩射手	c=1 d=1 t=86822
liang sheng 	兩聲	c=1 d=1 t=55108
liang shou 	兩手	c=1 d=1.01388 t=92616
liang shou zhun bei 	兩手準備	c=1 d=1 t=92222
liang shuang xie 	两双鞋	c=2 d=1.98511 t=39922
liang tai 	兩臺	c=2 d=1 t=80759
liang tao 	兩套	c=1 d=1 t=88754
liang ti 	兩題	c=1 d=1 t=97150
liang tian 	兩天	c=4 d=1 t=98751
liang tiao 	兩條	c=3 d=1.07577 t=42757
liang wei 	兩位	c=3 d=1 t=85607
liang wei xiao shu 	兩位小數	c=1 d=1 t=74403
liang xiang 	兩項	c=1 d=0.1 t=42827
liang xiang 	良鄉	c=1 d=1 t=120796
liang xin 	良心	c=2 d=1 t=57325
liang xing 	两星	c=7 d=1 t=111690
liang xiong di 	兩兄弟	c=1 d=1 t=61864
liang yan 	亮眼	c=2 d=1 t=134577
liang you 	糧油	c=1 d=1 t=118821
liang yue 	兩月	c=1 d=1 t=64992
liang zai 	靚仔	c=1 d=1 t=88776
liang zhang 	兩張	c=2 d=1 t=128571
liang zhe 	兩者	c=2 d=1 t=105866
liang zhi 	兩隻	c=0 d=0.1 t=64113
liang zhi ji 	兩隻雞	c=1 d=1 t=64114
liang zhong 	兩種	c=3 d=1 t=65750
liang zhou 	兩週	c=4 d=1 t=129800
liang zhou jia 	兩週假	c=1 d=1 t=11987
liang zhou nei 	兩週內	c=1 d=1 t=98706
liang zi yin zuo 	量子银座	c=1 d=1 t=6927
liao 	了	c=0 d=0.1 t=34352
liao 	廖	c=2 d=1 t=131493
liao 	撂	c=2 d=1 t=132609
liao 	撩	c=3 d=1 t=133214
liao 	料	c=3 d=1 t=103151
liao 	聊	c=35 d=1.00507 t=128828
liao dao 	撂倒	c=1 d=1 t=119066
liao dao 	聊到	c=1 d=1 t=10272
liao de 	聊得	c=2 d=1.05234 t=121003
liao fa 	撩法	c=1 d=1 t=115692
liao fa 	療法	c=1 d=1 t=98453
liao ge 	聊個	c=0 d=0.1 t=72042
liao ge pi 	聊個屁	c=1 d=1 t=72043
liao guo 	聊過	c=2 d=1 t=89555
liao jie 	瞭解	c=40 d=1 t=132667
liao jie dao 	瞭解到	c=1 d=1 t=56590
liao jie yi xia 	瞭解一下	c=3 d=1 t=112104
liao le 	聊了	c=13 d=1.74057 t=125640
liao liao 	聊聊	c=7 d=1 t=127240
liao mei 	撩妹	c=3 d=1 t=115785
liao ning 	遼寧	c=1 d=1 t=91587
liao shi qing 	聊事情	c=2 d=1 t=132297
liao tian 	聊天	c=22 d=1.00002 t=131738
liao tian ji lu 	聊天記錄	c=2 d=1 t=121578
liao tian ne 	聊天呢	c=1 d=1 t=68910
liao tian shi 	聊天室	c=1 d=1 t=77324
liao wan 	聊完	c=5 d=1 t=112645
liao wan le 	聊完了	c=1 d=1 t=122679
liao yi liao 	聊一聊	c=3 d=1.36604 t=125892
liao yi xia 	聊一下	c=2 d=1 t=132315
liao yu xiang 	廖雨翔	c=5 d=1 t=131512
lie 	列	c=12 d=2.50141 t=59406
lie 	烈	c=2 d=0.1 t=93360
lie biao 	列表	c=17 d=1 t=110607
lie cu 	列簇	c=5 d=1.00558 t=60358
lie kai 	裂開	c=1 d=1 t=120132
lie kong zuo 	烈空座	c=3 d=2.81911 t=93384
lie ming 	列名	c=4 d=1 t=69323
lie shi 	劣勢	c=1 d=1 t=3911
lie tou 	獵頭	c=15 d=1 t=132493
lie xiang liang 	列向量	c=3 d=1.09778 t=16210
lin 	臨	c=1 d=1 t=134833
lin chang 	臨場	c=2 d=1.97531 t=130490
lin chuang 	臨牀	c=1 d=1 t=105585
lin hao 	林浩	c=5 d=1 t=17894
lin ken 	林肯	c=1 d=1 t=25532
lin lin 	琳琳	c=2 d=1.69768 t=17963
lin men 	臨門	c=0 d=0.1 t=109854
